Vehicle_ID,Margin,Time,X,Y,Z
L1,3.0,221.2,100.0,55.0,10.0
L1,3.0,221.4,100.0,55.0,10.0
L1,3.0,221.6,100.0,55.0,10.0
L1,3.0,221.8,100.0,55.0,10.0
L1,3.0,222.0,100.0,55.0,10.0
L1,3.0,222.2,100.0,55.0,10.0
L1,3.0,222.4,100.0,55.0,10.0
L1,3.0,222.6,100.0,55.0,10.0
L1,3.0,222.8,100.0,55.0,10.0
L1,3.0,223.0,100.0,55.0,10.0
L1,3.0,223.2,100.0,55.0,10.0
L1,3.0,223.4,100.0,55.0,10.0
L1,3.0,223.6,100.0,55.0,10.0
L1,3.0,223.8,100.0,55.0,10.0
L1,3.0,224.0,100.0,55.0,10.0
L1,3.0,224.2,100.0,55.0,10.0
L1,3.0,224.4,100.0,55.0,10.0
L1,3.0,224.6,100.0,55.0,10.0
L1,3.0,224.8,100.0,55.0,10.0
L1,3.0,225.0,100.0,55.0,10.0
L1,3.0,225.2,100.0,55.0,10.0
L1,3.0,225.4,100.0,55.0,10.0
L1,3.0,225.6,100.0,55.0,10.0
L1,3.0,225.8,100.0,55.0,10.0
L1,3.0,226.0,100.0,55.0,10.0
L1,3.0,226.2,100.0,55.0,10.0
L1,3.0,226.4,100.0,55.0,10.0
L1,3.0,226.6,100.0,55.0,10.0
L1,3.0,226.8,100.0,55.0,10.0
L1,3.0,227.0,100.0,55.0,10.0
L1,3.0,227.2,100.0,55.0,10.0
L1,3.0,227.4,100.0,55.0,10.0
L1,3.0,227.6,100.0,55.0,10.0
L1,3.0,227.8,100.0,55.0,10.0
L1,3.0,228.0,100.0,55.0,10.0
L1,3.0,228.2,100.0,55.0,10.0
L1,3.0,228.4,100.0,55.0,10.0
L1,3.0,228.6,100.0,55.0,10.0
L1,3.0,228.8,100.0,55.0,10.0
L1,3.0,229.0,100.0,55.0,10.0
L1,3.0,229.2,100.0,55.0,10.0
L1,3.0,229.4,100.0,55.0,10.0
L1,3.0,229.6,100.0,55.0,10.0
L1,3.0,229.8,100.0,55.0,10.0
L1,3.0,230.0,100.0,55.0,10.0
L1,3.0,230.2,100.0,55.0,10.0
L1,3.0,230.4,100.0,55.0,10.0
L1,3.0,230.6,100.0,55.0,10.0
L1,3.0,230.8,100.0,55.0,10.0
L1,3.0,231.0,100.0,55.0,10.0
L1,3.0,231.2,100.0,55.0,10.0
L1,3.0,231.4,100.0,55.0,10.0
L1,3.0,231.6,100.0,55.0,10.0
L1,3.0,231.8,100.0,55.0,10.0
L1,3.0,232.0,100.0,55.0,10.0
L1,3.0,232.2,100.0,55.0,10.0
L1,3.0,232.4,100.0,55.0,10.0
L1,3.0,232.6,100.0,55.0,10.0
L1,3.0,232.8,100.0,55.0,10.0
L1,3.0,233.0,100.0,55.0,10.0
L1,3.0,233.2,100.0,55.0,10.0
L1,3.0,233.4,100.0,55.0,10.0
L1,3.0,233.6,100.0,55.0,10.0
L1,3.0,233.8,100.0,55.0,10.0
L1,3.0,234.0,100.0,55.0,10.0
L1,3.0,234.2,100.0,55.0,10.0
L1,3.0,234.4,100.0,55.0,10.0
L1,3.0,234.6,100.0,55.0,10.0
L1,3.0,234.8,100.0,55.0,10.0
L1,3.0,235.0,100.0,55.0,10.0
L1,3.0,235.2,100.0,55.0,10.0
L1,3.0,235.4,100.0,55.0,10.0
L1,3.0,235.6,100.0,55.0,10.0
L1,3.0,235.8,100.0,55.0,10.0
L1,3.0,236.0,100.0,55.0,10.0
L1,3.0,236.2,100.0,55.0,10.0
L1,3.0,236.4,100.0,55.0,10.0
L1,3.0,236.6,100.0,55.0,10.0
L1,3.0,236.8,100.0,55.0,10.0
