Vehicle_ID,Margin,Time,X,Y,Z
HEAD_A,5.0,57.8,100.0,50.0,10.0
HEAD_A,5.0,58.0,100.0,50.0,10.0
HEAD_A,5.0,58.2,100.0,50.0,10.0
HEAD_A,5.0,58.4,100.0,50.0,10.0
HEAD_A,5.0,58.6,100.0,50.0,10.0
HEAD_A,5.0,58.8,100.0,50.0,10.0
HEAD_A,5.0,59.0,100.0,50.0,10.0
HEAD_A,5.0,59.2,100.0,50.0,10.0
HEAD_A,5.0,59.4,100.0,50.0,10.0
HEAD_A,5.0,59.6,100.0,50.0,10.0
HEAD_A,5.0,59.8,100.0,50.0,10.0
HEAD_A,5.0,60.0,100.0,50.0,10.0
HEAD_A,5.0,60.2,100.0,50.0,10.0
HEAD_A,5.0,60.4,100.0,50.0,10.0
HEAD_A,5.0,60.6,100.0,50.0,10.0
HEAD_A,5.0,60.8,100.0,50.0,10.0
HEAD_A,5.0,61.0,100.0,50.0,10.0
HEAD_A,5.0,61.2,100.0,50.0,10.0
HEAD_A,5.0,61.4,100.0,50.0,10.0
HEAD_A,5.0,61.6,100.0,50.0,10.0
HEAD_A,5.0,61.8,100.0,50.0,10.0
HEAD_A,5.0,62.0,100.0,50.0,10.0
HEAD_A,5.0,62.2,100.0,50.0,10.0
HEAD_A,5.0,62.4,100.0,50.0,10.0
HEAD_A,5.0,62.6,100.0,50.0,10.0
HEAD_A,5.0,62.8,100.0,50.0,10.0
HEAD_A,5.0,63.0,100.0,50.0,10.0
HEAD_A,5.0,63.2,100.0,50.0,10.0
HEAD_A,5.0,63.4,100.0,50.0,10.0
HEAD_A,5.0,63.6,100.0,50.0,10.0
HEAD_A,5.0,63.8,100.0,50.0,10.0
HEAD_A,5.0,64.0,100.0,50.0,10.0
HEAD_A,5.0,64.2,100.0,50.0,10.0
HEAD_A,5.0,64.4,100.0,50.0,10.0
HEAD_A,5.0,64.6,100.0,50.0,10.0
HEAD_A,5.0,64.8,100.0,50.0,10.0
HEAD_A,5.0,65.0,100.0,50.0,10.0
HEAD_A,5.0,65.2,100.0,50.0,10.0
HEAD_A,5.0,65.4,100.0,50.0,10.0
HEAD_A,5.0,65.6,100.0,50.0,10.0
